time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-01-31 22:39:53,Disconnected,2017-01-31 22:35:59,None,0:00:28,
2017-01-31 22:49:39,Reconnected,2017-01-31 22:49:39,0:13:39,0:00:28,
2017-01-31 22:53:21,Disconnected,2017-01-31 22:50:12,None,0:00:33,
2017-01-31 23:04:36,Reconnected,2017-01-31 23:04:36,0:14:23,0:00:33,
2017-01-31 23:08:56,Disconnected,2017-01-31 23:05:02,None,0:00:26,
2017-01-31 23:19:17,Reconnected,2017-01-31 23:19:17,0:14:14,0:00:26,
2017-01-31 23:23:39,Disconnected,2017-01-31 23:19:51,None,0:00:34,
2017-01-31 23:33:35,Reconnected,2017-01-31 23:33:35,0:13:44,0:00:34,
2017-01-31 23:38:16,Disconnected,2017-01-31 23:34:54,None,0:01:18,
2017-01-31 23:48:53,Reconnected,2017-01-31 23:48:53,0:13:59,0:01:18,
2017-01-31 23:52:54,Disconnected,2017-01-31 23:49:31,None,0:00:37,
2017-02-01 00:13:19,Reconnected,2017-02-01 00:13:19,0:23:48,0:00:37,
2017-02-01 00:18:11,Disconnected,2017-02-01 00:14:10,None,0:00:50,
2017-02-01 00:23:47,Reconnected,2017-02-01 00:23:47,0:09:36,0:00:50,
2017-02-01 00:27:28,Disconnected,2017-02-01 00:24:06,None,0:00:19,
2017-02-01 00:38:36,Reconnected,2017-02-01 00:38:36,0:14:29,0:00:19,
