time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-04-01 12:10:52,Disconnected,Sat 01 Apr 12:07,None,0:02:27,
2017-04-01 12:17:53,Reconnected,Sat 01 Apr 12:17,0:10:37,None,
2017-04-01 12:23:25,Disconnected,Sat 01 Apr 12:20,None,0:02:16,
2017-04-01 13:25:01,Reconnected,Sat 01 Apr 13:25,1:04:51,None,
2017-04-01 13:31:13,Disconnected,Sat 01 Apr 13:27,None,0:02:35,
2017-04-01 14:36:10,Reconnected,Sat 01 Apr 14:36,1:08:32,None,
2017-04-01 14:42:08,Disconnected,Sat 01 Apr 14:39,None,0:02:53,
2017-04-01 15:10:38,Reconnected,Sat 01 Apr 15:10,0:31:34,None,
2017-04-01 15:16:00,Disconnected,Sat 01 Apr 15:12,None,0:02:19,
2017-04-01 16:23:27,Reconnected,Sat 01 Apr 16:23,1:10:30,None,
2017-04-01 16:28:42,Disconnected,Sat 01 Apr 16:25,None,0:02:22,
2017-04-01 18:24:06,Reconnected,Sat 01 Apr 18:24,1:58:17,None,
2017-04-01 18:29:31,Disconnected,Sat 01 Apr 18:26,None,0:02:15,
2017-04-01 19:26:26,Reconnected,Sat 01 Apr 19:26,1:00:03,None,
2017-04-01 19:31:42,Disconnected,Sat 01 Apr 19:28,None,0:02:25,
2017-04-01 19:50:01,Reconnected,Sat 01 Apr 19:50,0:21:10,None,
2017-04-01 19:55:06,Disconnected,Sat 01 Apr 19:52,None,0:02:20,
2017-04-01 20:34:03,Reconnected,Sat 01 Apr 20:34,0:41:42,None,
2017-04-01 20:39:11,Disconnected,Sat 01 Apr 20:36,None,0:02:14,
2017-04-01 21:11:04,Reconnected,Sat 01 Apr 21:11,0:34:46,None,
2017-04-01 21:16:18,Disconnected,Sat 01 Apr 21:13,None,0:02:17,
2017-04-01 22:22:23,Reconnected,Sat 01 Apr 22:22,1:09:00,None,
2017-04-01 22:27:34,Disconnected,Sat 01 Apr 22:24,None,0:02:14,
2017-04-01 22:36:32,Reconnected,Sat 01 Apr 22:36,0:11:54,None,
2017-04-01 22:41:41,Disconnected,Sat 01 Apr 22:38,None,0:02:13,
